Код;Описание;Уровень
G1030600;Насыпи;4
G1030700;Борьба с эрозией;4
G1030800;Траншеи под инженерные коммуникации;4
G1040;Удаление опасных отходов;3
G1040100;Удаление загрязненного грунта;4
G1040200;Восстановление и лечение почвы;4
G1040900;Другие виды рекультивации опасных отходов;4
G20;Благоустройство территории;2
G2010;Дороги;3
G2010100;Основание и подготовка дорожной одежды;4
G2010200;Мощение и устройство дорожного покрытия;4
G2010300;Бордюры, лотки и водостоки дорог;4
G2010400;Ограждения и барьеры;4
G2010500;Нарисованные линии и разметка;4
G2010600;Информационные указатели, знаки;4
G2010700;Автотранспортные мосты;4
G2020;Автостоянки;3
G2020100;Основание и подготовка под стоянку;4
G2020200;Мощение и устройство покрытия стоянки;4
G2020300;Бордюры, лотки и водостоки автостоянок;4
G2020400;Ограждения и барьеры;4
G2020500;Парковочные будки и оборудование;4
G2020600;Нарисованные линии и разметка;4
G2020700;Информационные указатели, знаки;4
G2030;Пешеходные пути;3
G2030100;Основание под тротуары;4
G2030200;Тротуар;4
G2030300;Кирпичное и плиточное покрытие;4
G2030400;Окантовка, подрезка;4
G2030500;Крыльца и пандусы;4
G2030600;Пешеходные мосты;4
G2040;Застройка площадки;3
G2040100;Заборы и ворота;4
G2040200;Подпорные стены;4
G2040300;Бермы и стены по периметру площадки;4
G2040400;Информационные указатели, знаки;4
G2040500;Бытовое обустройство площадки;4
G2040600;Фонтаны, бассейны и водостоки ;4
G2040700;Игровые площадки;4
G2040800;Флагштоки;4
G2040900;Другие работы на площадке;4
G2050;Ландшафтный дизайн;3
G2050100;Планировка рельефа и подготовка почвы;4
G2050200;Меры эрозии;4
G2050300;Автотранспортные мосты;4
G2050400;Посев и дернование;4
G2050500;Озеленение (посадка деревьев и кустарника);4
G2050600;Посадка травы и цветов;4
G2050700;Системы капельного орашения;4
G2050900;Другие элементы ландшафта;4
G30;Внутриплощадочные инженерные сети;2
G3010;Водоснабжение;3
G3010100;Распределение и хранение питьевой воды;4
G3010200;Распределение и хранение хозяйственной воды;4
G3010300;Скважины, колодцы;4
G3010400;Распределение и хранение воды на противопожарные нужды;4
G3010500;Насосные станции;4
G3010600;Системы полива растений;4
G3020;Канализация;3
G3020100;Канализационные трубопроводы;4
G3020200;Люки и прочистки канализационные;4
G3020300;Локальные очистные сооружения;4
G3020400;Канализационная насосная станция (КНС);4
G3020500;Водоотвод жидкости от растений с отходами;4
G3030;Ливневая канализация;3
G3030100;Трубы ливневой канализации;4
G3030200;Люки ливневой канализации;4
G3030300;Подпорные стенки и остойники;4
G3030400;Перекачивающие насосные станции;4
G3030500;Удерживающие пруды;4
G3030600;Канавы, водопропускные трубы и дюкеры;4
G3040;Теплоснабжение;3
G3040100;Паровое питание;4
G3040200;Возврат конденсата;4
G3040300;Система горячего водоснабжения;4
G3040400;Насосные станции;4
G3050;Холодоснабжение;3
G3050100;Трубы холодоснабжения;4
G3050200;Скважины для охлаждения/нагрева;4
G3050300;Насосные станции;4
G3050400;Градирни на площадке;4
G3060;Топливоснабжение;3
G3060100;Топливный трубопровод;4
G3060200;Топливное оборудование;4
G3060300;Емкости для хранения топлива;4
G3060400;Перекачивающие топливо станции;4
G3090;Другие инженерные системы на площадке;3
G3090100;Системы утилизации промышленных отходов;4
G3090200;Системы распределения горюче-смазочных материалов (ГСМ);4
G40;Внутриплощадочные электрические сети;2
G4010;Распределение электроэнергии;3
G4010100;Подстанции;4
G4010200;Надземные линии электропередач;4
G4010300;Подземные линии электропередач;4
G4020;Освещение площадки;3
G4020100;Внутриплощадочные светильники и трансформаторы;4
G4020200;Внутриплощадочные столбы освещения;4
G4020300;Кабелепроводы и лотки;4
G4020400;Щиток управления освещением площадки;4
G4030;Системы связи и безопасности на площадке;3
G4030100;Системы связи на площадке;4
G4030200;Охранные системы и аварийные системы оповещения на площадке;4
G4040;Другие электрические инженерные сети на площадке;3
G4040100;Противокоррозионная катодная защита;4
G4040200;Аварийный генератор электроэнергии на площадке;4
G90;Другие конструкции на площадке;2
G9010;Служебные и пешеходные тоннели;3
G9010100;Служебные тоннели;4
G9010200;Траншейная опалубка;4
G9010300;Пешеходные тоннели;4
G9090;Другие системы и оборудование на стройплощадке;3
G9090100;Системы снеготаяния;4
